SRA	ID	Substrate	Country	GeographicOrigin	Latitude	Longitude	HOST_TYPE	HOST_ORDER	HOST_FAMILY	HOST_GENUS	HOST_NAME	Study	Pop	Pop_clade
ERR1309248	ERR1309248	Tree	Russia	Gelendzhik region_Caucasus_Russia	44.5620352	38.0904574	plant	Fagales	Fagaceae	Quercus	NA	ERP014555	Mediterranean_Oak	Mediterranean_Oak
ERR1309349	ERR1309349	Nature	China	Wuzhi Mountain_Hainan province_China	18.8983333	109.7041666	plant	NA	NA	NA	NA	ERP014555	TW2a_mosaic	Wild_TW
ERR1309352	ERR1309352	Tree	Portugal	Portugal_Castelo de Vide,	39.4142343	-7.4539635	plant	Fagales	Fagaceae	Quercus	NA	ERP014555	Mediterranean_Oak	Mediterranean_Oak
ERR1309394	ERR1309394	Wine	Spain	Santa Cruz de los Canamos_La Mancha_Spain	38.6370127	-2.8658155	fermentation	NA	NA	NA	NA	ERP014555	Wine_EU_AUS	Wine_EU_AUS
ERR1309428	ERR1309428	Wine	Australia	Adelaide_Australia	-34.9284989	138.6007456	fermentation	NA	NA	NA	NA	ERP014555	Wine_EU_AUS	Wine_EU_AUS
ERR1309447	ERR1309447	Palm wine	Ivory Coast	Ivory Coast	7.539989	-5.54708	fermentation	NA	NA	NA	NA	ERP014555	African_Palm_Wine	African_Palm_Wine
ERR1309488	ERR1309488	Tree	Montenegro	Montenegro	42.8957072	18.9635949	plant	Fagales	Fagaceae	Quercus	NA	ERP014555	Mediterranean_Oak	Mediterranean_Oak
ERR1309492	ERR1309492	Fermentation	Vietnam	Phan Thiet_South Vietnam	10.9581978	108.0503708	fermentation	NA	NA	NA	NA	ERP014555	AF_Huangjiu	AF_Huangjiu
SRR7851822	SRR7851822	Persimmon\, planted tree	China	Anqiu, Shandong	36.478493	119.218978	plant	Ericales	Ebenaceae	Diospyros	NA	SRP161891	TW3a;Asian_Oak	TW3a;Asian_Oak
SRR7851717	SRR7851717	Fermenting dough	China	Baotou, Inner Mongolia	40.657978	109.840313	fermentation	NA	NA	NA	NA	SRP161891	AF_Mantou1	AF_Mantou1
SRR7851912	SRR7851912	Rotten wood\, primeval forest	China	Bawangling Mountain, Hainan	19.121175	109.083477	plant	NA	NA	NA	NA	SRP161891	CHN-I	CHN-I
SRR7851883	SRR7851883	Fermented sorghum grain	China	Changshun, Guizhou	26.022636	106.4519	fermentation	NA	NA	NA	NA	SRP161891	AF_Mantou7;Baijiu	AF_Mantou7;Baijiu
SRR7851734	SRR7851734	Fermenting dough	China	Chengcheng, Shanxi	26.022636	106.4519	fermentation	NA	NA	NA	NA	SRP161891	AF_Mantou7;Baijiu	AF_Mantou7;Baijiu
SRR7851833	SRR7851833	Daqu (starter) of Qingkejiu (highland barley wine)	China	Dazi, Tibet	29.66941	91.349867	fermentation	NA	NA	NA	NA	SRP161891	AF_Qingkejiu	AF_Qingkejiu
SRR7851909	SRR7851909	Rotten wood\, primeval forest	China	Diaoluo Mountain, Hainan	18.728495	109.830436	plant	NA	NA	NA	NA	SRP161891	CHN-I	CHN-I
SRR7851688	SRR7851688	Bark of Quercus wutaishanica\, secondary forest	China	Dongling Mountain, Beijing	39.9041999	116.4073963	plant	Fagales	Fagaceae	Quercus	NA	SRP161891	CHN-IV	CHN-IV
